week_start,groupe,campagne,ACTE(VGP),DOSES(J07E1),actes_7day_ma,age_class,1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour grippe,Taux d'hospitalisations après passages aux urgences pour grippe,Taux d'actes médicaux SOS médecins pour grippe,date,year,week,severity_index,emergency_4week_ma,is_peak
,,,,,,,2020-02-17,2020-S08,00-04 ans,6430.1826925,4682.7794562,10412.487462,2020-02-17,2020,8,5381.7407507200005,7022.9034891,False
,,,,,,,2020-02-17,2020-S08,05-14 ans,4469.6244917,2779.9227799,18969.838389,2020-02-17,2020,8,3455.8034646200003,4913.925602575,False
,,,,,,,2020-02-17,2020-S08,15-64 ans,1529.1080006,895.63696848,14059.592355,2020-02-17,2020,8,1149.025381328,1747.4155897750002,False
,,,,,,,2020-02-17,2020-S08,65 ans ou plus,785.76148476,1088.8214333,3525.8887172,2020-02-17,2020,8,967.5974538840001,767.8892037675,False
,,,,,,,2020-02-17,2020-S08,Tous âges,2310.5191952,1359.4398255,12727.012727,2020-02-17,2020,8,1739.87157338,2635.9740548,False
,,,,,,,2020-02-24,2020-S09,00-04 ans,5627.0187567,4173.583116,8637.5285724,2020-02-24,2020,9,4754.95737228,6800.350943925,False
,,,,,,,2020-02-24,2020-S09,05-14 ans,3297.8081641,1734.3485618,14594.374236,2020-02-24,2020,9,2359.73240272,4501.467224725,False
,,,,,,,2020-02-24,2020-S09,15-64 ans,1658.3828638,974.4160178,13342.233898,2020-02-24,2020,9,1248.0027562,1682.310003375,False
,,,,,,,2020-02-24,2020-S09,65 ans ou plus,816.73041989,1035.0157941,3841.6650457,2020-02-24,2020,9,947.701644416,800.6758154375,False
,,,,,,,2020-02-24,2020-S09,Tous âges,2102.7699368,1264.9189024,11438.197826,2020-02-24,2020,9,1600.05931616,2490.404002425,False
,,,,,,,2020-03-02,2020-S10,00-04 ans,4273.5595743,2951.2516469,7904.642409,2020-03-02,2020,10,3480.17481786,5976.815031575,False
,,,,,,,2020-03-02,2020-S10,05-14 ans,2684.0066408,1551.3126492,12665.656948,2020-03-02,2020,10,2004.3902458399998,3916.4483820749997,False
,,,,,,,2020-03-02,2020-S10,15-64 ans,1542.964874,913.76863023,12232.022146,2020-03-02,2020,10,1165.447127738,1619.774959475,False
,,,,,,,2020-03-02,2020-S10,65 ans ou plus,667.80848824,827.85488191,3462.2804346,2020-03-02,2020,10,763.836324442,785.3803140074999,False
,,,,,,,2020-03-02,2020-S10,Tous âges,1771.1852063,1032.9143809,10466.39554,2020-03-02,2020,10,1328.22271106,2238.0789434499998,False
,,,,,,,2020-03-09,2020-S11,00-04 ans,3805.8410502,2430.4617877,6117.1782763,2020-03-09,2020,11,2980.6134927000003,5034.150518425,False
,,,,,,,2020-03-09,2020-S11,05-14 ans,2387.5314353,1481.1680068,10678.156613,2020-03-09,2020,11,1843.7133782,3209.742682975,False
,,,,,,,2020-03-09,2020-S11,15-64 ans,1935.9589683,1226.9111501,11515.326898,2020-03-09,2020,11,1510.53027738,1666.6036766749999,False
,,,,,,,2020-03-09,2020-S11,65 ans ou plus,747.98619102,840.68461132,3503.2562318,2020-03-09,2020,11,803.6052432,754.5716459775,False
,,,,,,,2020-03-09,2020-S11,Tous âges,1941.488779,1132.2818853,9623.9370541,2020-03-09,2020,11,1455.96464278,2031.490779325,False
,,,,,,,2020-03-16,2020-S12,00-04 ans,1959.1426658,1205.6737589,2837.0989374,2020-03-16,2020,12,1507.06132166,3916.3905117500003,False
,,,,,,,2020-03-16,2020-S12,05-14 ans,2228.0933509,817.99591002,5642.6332288,2020-03-16,2020,12,1382.034886372,2649.359897775,False
,,,,,,,2020-03-16,2020-S12,15-64 ans,2144.7694791,1337.6026442,5829.7938465,2020-03-16,2020,12,1660.46937816,1820.5190463000001,False
,,,,,,,2020-03-16,2020-S12,65 ans ou plus,926.95330559,1013.6780134,2361.489555,2020-03-16,2020,12,978.9881302760001,789.869601185,False
,,,,,,,2020-03-16,2020-S12,Tous âges,1828.5189226,1154.7943428,4868.2475897,2020-03-16,2020,12,1424.28417472,1910.990711175,False
,,,,,,,2020-03-23,2020-S13,00-04 ans,802.65931571,495.78582053,903.3778476,2020-03-23,2020,13,618.535218602,2710.3006515025,False
,,,,,,,2020-03-23,2020-S13,05-14 ans,676.76072494,312.0124805,1493.7993236,2020-03-23,2020,13,457.91177827600006,1994.098037985,False
,,,,,,,2020-03-23,2020-S13,15-64 ans,1316.6101431,640.03631412,1871.9930019,2020-03-23,2020,13,910.6658457120001,1735.075866125,False
,,,,,,,2020-03-23,2020-S13,65 ans ou plus,551.66846071,559.23943437,861.43502469,2020-03-23,2020,13,556.211044906,723.6041113900001,False
,,,,,,,2020-03-23,2020-S13,Tous âges,1043.0162485,585.70095499,1569.9632724,2020-03-23,2020,13,768.627072394,1646.0522891,False
,,,,,,,2020-03-30,2020-S14,00-04 ans,318.29756275,297.79630733,381.78347423,2020-03-30,2020,14,305.996809498,1721.485148615,False
,,,,,,,2020-03-30,2020-S14,05-14 ans,369.80639548,147.71048744,565.53559548,2020-03-30,2020,14,236.548850656,1415.5479766550002,False
,,,,,,,2020-03-30,2020-S14,15-64 ans,571.32673599,322.72048553,906.9671568,2020-03-30,2020,14,422.162985714,1492.1663316225,False
,,,,,,,2020-03-30,2020-S14,65 ans ou plus,185.23538448,201.32066355,371.05751391,2020-03-30,2020,14,194.886551922,602.9608354500001,False
,,,,,,,2020-03-30,2020-S14,Tous âges,435.39730004,254.98139047,727.95842743,2020-03-30,2020,14,327.147754298,1312.105312535,False
,,,,,,,2020-04-06,2020-S15,00-04 ans,131.24436059,59.206631143,225.66995769,2020-04-06,2020,15,88.0217229218,802.8359762125,False
,,,,,,,2020-04-06,2020-S15,05-14 ans,170.94017094,134.04825737,214.66905188,2020-04-06,2020,15,148.80502279799998,861.4001605650001,False
,,,,,,,2020-04-06,2020-S15,15-64 ans,348.26807229,198.77751826,402.44563114,2020-04-06,2020,15,258.57373987200003,1095.2436076200001,False
,,,,,,,2020-04-06,2020-S15,65 ans ou plus,120.62470902,137.64895583,162.5190452,2020-04-06,2020,15,130.839257106,446.12046495,False
,,,,,,,2020-04-06,2020-S15,Tous âges,255.74370269,160.05909874,317.96502385,2020-04-06,2020,15,198.33294031999998,890.6690434575,False
,,,,,,,2020-04-13,2020-S16,00-04 ans,137.20742534,59.77286312,132.76686139,2020-04-13,2020,16,90.74668800799999,347.3521660975,False
,,,,,,,2020-04-13,2020-S16,05-14 ans,166.86133823,120.77294686,209.20502092,2020-04-13,2020,16,139.208303408,346.0921573975,False
,,,,,,,2020-04-13,2020-S16,15-64 ans,184.75797726,101.95238823,372.60940649,2020-04-13,2020,16,135.074623842,605.24073216,False
,,,,,,,2020-04-13,2020-S16,65 ans ou plus,80.693111356,115.70247934,109.33306828,2020-04-13,2020,16,101.6987321464,234.5554163915,False
,,,,,,,2020-04-13,2020-S16,Tous âges,151.08503845,108.17231213,278.48688791,2020-04-13,2020,16,125.337402658,471.31057242,False
,,,,,,,2020-04-20,2020-S17,00-04 ans,160.28087315,57.208237986,118.16838996,2020-04-20,2020,17,98.4372920516,186.7575554575,False
,,,,,,,2020-04-20,2020-S17,05-14 ans,100.79863534,120.77294686,215.9050018,2020-04-20,2020,17,112.783222252,202.1016349975,False
,,,,,,,2020-04-20,2020-S17,15-64 ans,134.03914332,73.811632713,234.39164713,2020-04-20,2020,17,97.90263695579999,309.597982215,False
,,,,,,,2020-04-20,2020-S17,65 ans ou plus,50.012002881,51.375276636,129.00451516,2020-04-20,2020,17,50.829967134,109.14130193425,False
,,,,,,,2020-04-20,2020-S17,Tous âges,110.08969236,63.226595962,197.20834934,2020-04-20,2020,17,81.97183452120001,238.078933385,False
,,,,,,,2020-04-27,2020-S18,00-04 ans,167.55299774,0.0,248.69435464,2020-04-27,2020,18,67.021199096,149.071414205,False
,,,,,,,2020-04-27,2020-S18,05-14 ans,95.004354366,60.496067756,153.09246785,2020-04-27,2020,18,74.2993824,133.401124719,False
,,,,,,,2020-04-27,2020-S18,15-64 ans,92.407354482,71.167141114,262.9616547,2020-04-27,2020,18,79.6632264612,189.868136838,False
,,,,,,,2020-04-27,2020-S18,65 ans ou plus,53.317535545,48.301400741,145.30659692,2020-04-27,2020,18,50.3078546626,76.1618397005,False
,,,,,,,2020-04-27,2020-S18,Tous âges,87.375119523,56.330975778,224.60462639,2020-04-27,2020,18,68.74863327599999,151.07338825575,False
,,,,,,,2020-05-04,2020-S19,00-04 ans,137.28181996,0.0,72.868593636,2020-05-04,2020,19,54.91272798400001,150.5807790475,False
,,,,,,,2020-05-04,2020-S19,05-14 ans,57.368689444,0.0,114.67889908,2020-05-04,2020,19,22.9474757776,105.008254345,False
,,,,,,,2020-05-04,2020-S19,15-64 ans,79.814691108,33.83113431,178.91130567,2020-05-04,2020,19,52.2245570292,122.7547915425,False
,,,,,,,2020-05-04,2020-S19,65 ans ou plus,46.62004662,38.057543005,66.634935745,2020-05-04,2020,19,41.482544450999995,57.660674100499996,False
,,,,,,,2020-05-04,2020-S19,Tous âges,73.254634098,33.518011002,137.1094628,2020-05-04,2020,19,49.4126602404,105.45112110775001,False
,,,,,,,2020-05-11,2020-S20,00-04 ans,86.608927382,54.6149645,142.93882218,2020-05-11,2020,20,67.41254965280001,137.931154558,False
,,,,,,,2020-05-11,2020-S20,05-14 ans,45.210876445,0.0,314.76235442,2020-05-11,2020,20,18.084350578,74.59563889875,False
,,,,,,,2020-05-11,2020-S20,15-64 ans,67.20768856,28.300551861,256.11268958,2020-05-11,2020,20,43.863406540599996,93.36721936749998,False
,,,,,,,2020-05-11,2020-S20,65 ans ou plus,41.390014659,33.00935265,52.29578496,2020-05-11,2020,20,36.361617453600005,47.834899926249996,False
,,,,,,,2020-05-11,2020-S20,Tous âges,59.753276793,30.658976373,203.26186904,2020-05-11,2020,20,42.296696541,82.61818069350001,False
,,,,,,,2020-05-18,2020-S21,00-04 ans,99.595758392,0.0,139.40520446,2020-05-18,2020,21,39.8383033568,122.7598758685,False
,,,,,,,2020-05-18,2020-S21,05-14 ans,50.231062889,0.0,171.82130584,2020-05-18,2020,21,20.0924251556,61.953745786,False
,,,,,,,2020-05-18,2020-S21,15-64 ans,41.479945187,9.1170169121,160.90667413,2020-05-18,2020,21,22.06218822206,70.22741983425,False
,,,,,,,2020-05-18,2020-S21,65 ans ou plus,25.806035387,18.005689798,64.026342267,2020-05-18,2020,21,21.1258280336,41.783408052750005,False
,,,,,,,2020-05-18,2020-S21,Tous âges,42.310042866,13.007767495,137.36549628,2020-05-18,2020,21,24.7286776434,65.67326832,False
,,,,,,,2020-05-25,2020-S22,00-04 ans,135.34852245,0.0,235.68230026,2020-05-25,2020,22,54.13940898,114.708757046,False
,,,,,,,2020-05-25,2020-S22,05-14 ans,49.349484074,45.682960256,136.54984069,2020-05-25,2020,22,47.1495697832,50.540028213,False
,,,,,,,2020-05-25,2020-S22,15-64 ans,30.639966773,21.985753232,186.19497274,2020-05-25,2020,22,25.447438648400002,54.785572906999995,False
,,,,,,,2020-05-25,2020-S22,65 ans ou plus,10.901558923,10.699383002,66.774778212,2020-05-25,2020,22,10.7802533704,31.17941389725,False
,,,,,,,2020-05-25,2020-S22,Tous âges,34.646446947,16.366314488,160.11998865,2020-05-25,2020,22,23.6783674716,52.491100175999996,False
,,,,,,,2020-06-01,2020-S23,00-04 ans,33.171163202,51.046452272,131.66556945,2020-06-01,2020,23,43.896336644,88.6810928565,False
,,,,,,,2020-06-01,2020-S23,05-14 ans,33.18164581,0.0,198.23788546,2020-06-01,2020,23,13.272658324,44.4932673045,False
,,,,,,,2020-06-01,2020-S23,15-64 ans,22.572014685,21.943298517,252.67309648,2020-06-01,2020,23,22.1947849842,40.474903801249994,False
,,,,,,,2020-06-01,2020-S23,65 ans ou plus,6.228007349,7.2293511657,71.948916269,2020-06-01,2020,23,6.82881363902,21.0814040795,False
,,,,,,,2020-06-01,2020-S23,Tous âges,20.075025487,14.663562879,198.60034046,2020-06-01,2020,23,16.828147922200003,39.196198023250005,False
,,,,,,,2020-06-08,2020-S24,00-04 ans,28.240609997,0.0,209.31449503,2020-06-08,2020,24,11.296243998800001,74.08901351025,False
,,,,,,,2020-06-08,2020-S24,05-14 ans,23.444460074,0.0,112.26494527,2020-06-08,2020,24,9.377784029599999,39.05166321175,False
,,,,,,,2020-06-08,2020-S24,15-64 ans,28.324893436,30.690985619,253.21724652,2020-06-08,2020,24,29.744548745800003,30.754205020249998,False
,,,,,,,2020-06-08,2020-S24,65 ans ou plus,6.2789419983,7.0360598065,80.59641346,2020-06-08,2020,24,6.73321268322,12.303635914325,False
,,,,,,,2020-06-08,2020-S24,Tous âges,22.223030332,16.239624684,200.65157824,2020-06-08,2020,24,18.632986943200002,29.813636408,False
,,,,,,,2020-06-15,2020-S25,00-04 ans,27.076789776,0.0,99.875156055,2020-06-15,2020,25,10.8307159104,55.95927135625001,False
,,,,,,,2020-06-15,2020-S25,05-14 ans,24.548913711,0.0,101.16337886,2020-06-15,2020,25,9.819565484400002,32.63112591725,False
,,,,,,,2020-06-15,2020-S25,15-64 ans,21.767810026,25.643217369,234.20841053,2020-06-15,2020,25,24.0930544318,25.82617123,False
,,,,,,,2020-06-15,2020-S25,65 ans ou plus,10.742786986,10.469377072,48.938044436,2020-06-15,2020,25,10.5787410376,8.537823814075,False
,,,,,,,2020-06-15,2020-S25,Tous âges,19.639934534,15.926384711,170.36137908,2020-06-15,2020,25,17.4118046402,24.146109325,False
,,,,,,,2020-06-22,2020-S26,00-04 ans,77.583280803,43.687199651,269.02382782,2020-06-22,2020,26,57.2456321118,41.5179609445,True
,,,,,,,2020-06-22,2020-S26,05-14 ans,53.212245912,40.096230954,305.31243639,2020-06-22,2020,26,45.3426369372,33.59681637675,True
,,,,,,,2020-06-22,2020-S26,15-64 ans,27.119981263,12.306177701,212.0426778,2020-06-22,2020,26,18.2316991258,24.9461748525,False
,,,,,,,2020-06-22,2020-S26,65 ans ou plus,13.334123504,13.73060552,38.658548372,2020-06-22,2020,26,13.5720127136,9.145964959325,False
,,,,,,,2020-06-22,2020-S26,Tous âges,30.155191539,15.438452038,190.33268567,2020-06-22,2020,26,21.3251478384,23.023295473,False
,,,,,,,2020-06-29,2020-S27,00-04 ans,57.973599715,0.0,136.48150676,2020-06-29,2020,27,23.189439886000002,47.71857007275,False
,,,,,,,2020-06-29,2020-S27,05-14 ans,41.991811597,0.0,231.90326321,2020-06-29,2020,27,16.7967246388,35.7993578235,False
,,,,,,,2020-06-29,2020-S27,15-64 ans,32.196923675,12.449682533,283.15389881,2020-06-29,2020,27,20.348578989800004,27.3524021,False
,,,,,,,2020-06-29,2020-S27,65 ans ou plus,9.037369523,0.0,38.767202946,2020-06-29,2020,27,3.6149478092000003,9.848305502825,False
,,,,,,,2020-06-29,2020-S27,Tous âges,29.785544083,5.247966413,212.03050388,2020-06-29,2020,27,15.062997481000002,25.450925122,False
,,,,,,,2020-07-06,2020-S28,00-04 ans,20.458265139,0.0,98.328416912,2020-07-06,2020,28,8.183306055600001,45.772983858249994,False
,,,,,,,2020-07-06,2020-S28,05-14 ans,30.148859996,39.872408293,205.95690748,2020-07-06,2020,28,35.9829889742,37.475457804,False
,,,,,,,2020-07-06,2020-S28,15-64 ans,52.038266279,37.832611711,280.45360322,2020-07-06,2020,28,43.51487353819999,33.28074531075,True
,,,,,,,2020-07-06,2020-S28,65 ans ou plus,7.3378338714,3.5171637591,66.287878788,2020-07-06,2020,28,5.04543180402,10.1130284711,False
,,,,,,,2020-07-06,2020-S28,Tous âges,36.569242454,19.179801925,207.83592985,2020-07-06,2020,28,26.1355781366,29.0374781525,False
,,,,,,,2020-07-13,2020-S29,00-04 ans,60.696799255,0.0,186.75298805,2020-07-13,2020,29,24.278719702000004,54.177986227999995,False
,,,,,,,2020-07-13,2020-S29,05-14 ans,51.19953189,0.0,387.09677419,2020-07-13,2020,29,20.479812756,44.13811234875,False
,,,,,,,2020-07-13,2020-S29,15-64 ans,58.757482853,25.276993723,307.75705605,2020-07-13,2020,29,38.669189375,42.5281635175,False
,,,,,,,2020-07-13,2020-S29,65 ans ou plus,14.529392962,18.014772113,111.04467413,2020-07-13,2020,29,16.6206204526,11.059679965099999,False
,,,,,,,2020-07-13,2020-S29,Tous âges,47.81518747,19.423647408,263.71717109,2020-07-13,2020,29,30.780263432799998,36.0812913865,False
,,,,,,,2020-07-20,2020-S30,00-04 ans,45.6962446,0.0,89.71291866,2020-07-20,2020,30,18.27849784,46.20622717725,False
,,,,,,,2020-07-20,2020-S30,05-14 ans,32.476905312,0.0,227.03457911,2020-07-20,2020,30,12.9907621248,38.95427719875,False
,,,,,,,2020-07-20,2020-S30,15-64 ans,50.972281625,25.366761087,292.48725591,2020-07-20,2020,30,35.6089693022,48.491238608,False
,,,,,,,2020-07-20,2020-S30,65 ans ou plus,14.528126453,10.531489153,71.206052514,2020-07-20,2020,30,12.130144073,11.35818070235,False
,,,,,,,2020-07-20,2020-S30,Tous âges,40.163951309,15.719974848,219.86075486,2020-07-20,2020,30,25.497565432400002,38.583481328999994,False
,,,,,,,2020-07-27,2020-S31,00-04 ans,37.912296221,38.895371451,143.28928515,2020-07-27,2020,31,38.502141359,41.190901303749996,False
,,,,,,,2020-07-27,2020-S31,05-14 ans,36.959012455,38.955979743,247.52475248,2020-07-27,2020,31,38.1571928278,37.696077413249995,False
,,,,,,,2020-07-27,2020-S31,15-64 ans,42.946601125,29.513449701,259.26447795,2020-07-27,2020,31,34.8867102706,51.1786579705,False
,,,,,,,2020-07-27,2020-S31,65 ans ou plus,8.6513921532,7.0207463053,77.446002926,2020-07-27,2020,31,7.673004644460001,11.261686359899999,False
,,,,,,,2020-07-27,2020-S31,Tous âges,33.850088557,19.182477679,210.05579082,2020-07-27,2020,31,25.049522030200002,39.599617447499995,False
,,,,,,,2020-08-03,2020-S32,00-04 ans,42.498937527,41.59733777,154.29453112,2020-08-03,2020,32,41.9579776728,46.70106940075,False
